stat_id,player_id,date_of_game,stadium_name,rush_yards,num_rushes,rec_yards,num_receptions,points,snaps_played
1,4759,2021-08-22,Mendoza and Sons Stadium,92,6,179,5,0,66
2,6465,2020-10-29,"Robertson, Hart and Pierce Stadium",6,24,163,8,14,34
3,8025,2025-08-21,Henderson and Sons Stadium,0,25,152,13,7,64
4,4088,2025-07-21,Taylor PLC Stadium,10,0,88,6,17,24
5,5960,2026-04-24,"Ford, Cortez and Hernandez Stadium",8,26,35,9,14,4
6,8824,2021-07-20,"Jordan, Bowers and French Stadium",7,2,129,3,18,74
7,6003,2021-09-02,Ford-White Stadium,52,27,174,4,3,6
8,2827,2021-05-02,"Evans, Preston and Oneill Stadium",130,15,165,5,21,7
9,7614,2021-07-23,"Hudson, Perry and Levine Stadium",144,2,135,1,0,62
10,8809,2023-09-25,Garcia-Perez Stadium,101,8,186,11,12,80
11,124,2024-12-09,"Richardson, Wilson and Evans Stadium",127,17,98,15,3,15
12,7172,2025-10-27,"Taylor, Burns and Baxter Stadium",84,26,19,7,6,43
13,7814,2023-12-29,Thompson LLC Stadium,105,12,87,11,0,23
14,6610,2021-01-02,Vargas Group Stadium,8,4,59,1,7,40
15,6218,2022-06-12,Hamilton-Martinez Stadium,125,7,159,3,0,19
16,7356,2021-06-19,Hampton PLC Stadium,55,9,75,0,28,55
17,61,2023-01-09,"Walsh, Ramos and Adams Stadium",116,9,139,7,3,33
18,300,2026-03-09,Pope Ltd Stadium,62,23,32,12,6,44
19,4092,2021-10-23,Carson-Rangel Stadium,47,6,83,5,3,69
20,418,2021-10-03,Peterson PLC Stadium,107,9,70,8,0,5
21,8297,2024-08-16,"Thomas, Mahoney and Anderson Stadium",62,22,15,7,21,23
22,5473,2020-04-29,Fernandez-Robinson Stadium,115,5,68,15,14,10
23,2819,2022-07-31,Heath LLC Stadium,32,28,6,0,21,44
24,8797,2023-09-19,"Pena, Singleton and Peterson Stadium",29,24,143,14,28,68
25,4436,2021-04-04,"Cummings, Smith and Woods Stadium",139,13,44,5,0,21
26,9357,2023-02-12,Ward Ltd Stadium,-4,8,96,14,14,53
27,2328,2024-07-01,Duncan-Nelson Stadium,13,5,88,12,12,23
28,7575,2021-09-03,"Campbell, Clark and Rosales Stadium",41,27,46,12,17,4
29,9939,2020-03-07,Rodriguez-Torres Stadium,16,9,74,3,17,3
30,306,2024-10-21,Hall-Mcdonald Stadium,125,6,45,1,6,55
31,3318,2022-04-29,Williams Inc Stadium,21,21,55,1,17,9
32,9275,2024-11-03,Dennis-Sloan Stadium,71,26,96,12,3,76
33,8238,2021-11-02,"Vaughn, Costa and Hill Stadium",39,0,54,3,7,74
34,9151,2020-07-29,Arnold PLC Stadium,118,24,69,5,6,65
35,1288,2023-12-27,Marsh-Graves Stadium,58,29,178,10,28,79
36,1001,2020-02-23,Heath-Mcguire Stadium,2,3,121,1,3,51
37,832,2020-05-28,Kidd-King Stadium,122,24,44,7,28,30
38,5970,2022-05-08,Smith PLC Stadium,37,7,131,12,3,19
39,8810,2026-01-07,"Pacheco, Mason and Reeves Stadium",146,19,25,7,18,56
40,4253,2022-08-26,James Group Stadium,45,14,16,5,24,42
41,2546,2025-11-16,Mendoza-Acosta Stadium,100,20,59,5,14,61
42,3592,2025-12-06,Hanson-Andrade Stadium,92,13,176,3,3,26
43,4951,2020-08-24,Dunlap-Jimenez Stadium,38,1,80,13,21,46
44,6143,2022-05-12,Rosario-Mueller Stadium,137,7,177,15,14,75
45,4503,2021-11-04,Campbell-Pena Stadium,147,6,134,7,12,29
46,5501,2023-05-04,"Hamilton, Harrison and Roth Stadium",106,16,70,9,24,36
47,9057,2022-11-06,Schwartz-Lee Stadium,51,30,123,10,28,57
48,8741,2024-01-31,Rodriguez Group Stadium,49,22,23,5,28,19
49,2964,2022-09-28,Cantrell Group Stadium,59,7,114,11,0,63
50,7509,2021-06-08,Parker and Sons Stadium,140,5,118,7,18,68
